index,Title,Location,Address,Area Type,Price,Total Sqft,Size,Bath,Rating,Latitude,Longitude,Availability,Images,City
2072,"Sector 43, Gurgaon",2 BHK Independent Builder Floor for rent in Sector 43 Gurgaon,Sector 43 Gurgaon,Carpet Area,45000.0,900,2,2,0.0,28.4548735,77.0858864,Ready To Move,"['https://static.99acres.com/universalapp/img/Shortlist.png', 'https://static.99acres.com/universalapp/img/star_fomo.svg', 'https://static.99acres.com/universalapp/img/noImageBgPremium.svg', 'https://static.99acres.com/universalapp/img/downArrowNew.png']",Gurgaon
2073,Emaar Digihomes,3 BHK Flat for rent in Sector 62 Gurgaon,Sector 62 Gurgaon,Super Built-up Area,92000.0,2588,3,3,0.0,28.407697,77.0823781,Ready To Move,"['https://static.99acres.com/universalapp/img/Shortlist.png', 'https://static.99acres.com/universalapp/img/noImageBgPremium.svg', 'https://static.99acres.com/universalapp/img/downArrowNew.png']",Gurgaon
2074,Frontline Seven,"3 BHK Flat for rent in Kokapet, Hyderabad","Kokapet, Hyderabad",Super Built-up Area,54000.0,1945,3,3,0.0,17.4008497,78.3384549,Ready To Move,"['https://static.99acres.com/universalapp/img/Shortlist.png', 'https://static.99acres.com/universalapp/img/star_fomo.svg', 'https://static.99acres.com/universalapp/img/noImageBgPremium.svg', 'https://static.99acres.com/universalapp/img/downArrowNew.png']",Hyderabad
2076,Ekta Tripolis,"3 BHK Flat for rent in Goregaon West, Mumbai","Goregaon West, Mumbai",Carpet Area,85000.0,908,3,2,0.0,19.1633281,72.8411995,Ready To Move,"['https://static.99acres.com/universalapp/img/Shortlist.png', 'https://imagecdn.99acres.com/media1/23795/9/475909214M-1708935381019.jpg', 'https://imagecdn.99acres.com/media1/23795/9/475909224M-1708935405032.jpg', 'https://imagecdn.99acres.com/media1/23795/9/475909226M-1708944087163.jpg', 'https://imagecdn.99acres.com/media1/23795/9/475909216M-1708935402105.jpg', 'https://imagecdn.99acres.com/media1/23795/9/475909212M-1708935395651.jpg', 'https://static.99acres.com/universalapp/img/downArrowNew.png']",Mumbai
2077,Resedential Flat,"1 BHK Independent Builder Floor for rent in Chattarpur, South Delhi","Chattarpur, South Delhi",Carpet Area,15500.0,410,1,1,0.0,28.503846,77.183032,Ready To Move,"['https://static.99acres.com/universalapp/img/GreenVerified.png', 'https://static.99acres.com/universalapp/img/Shortlist.png', 'https://static.99acres.com/universalapp/img/star_fomo.svg', 'https://imagecdn.99acres.com/media1/23548/2/470962256M-1706865381641.jpg', 'https://static.99acres.com/universalapp/img/downArrowNew.png']",South Delhi
2078,Brigade Cornerstone Utopia,"2 BHK Flat for rent in Varthur, Bangalore East","Varthur, Bangalore East",Super Built-up Area,46000.0,1259,2,2,0.0,12.9406152,77.7469937,Ready To Move,"['https://static.99acres.com/universalapp/img/Shortlist.png', 'https://static.99acres.com/universalapp/img/star_fomo.svg', 'https://static.99acres.com/universalapp/img/noImageBgPremium.svg', 'https://static.99acres.com/universalapp/img/downArrowNew.png']",Bangalore
2081,Emaar MGF The Palm Drive,4 BHK Flat for rent in Sector 66 Gurgaon,Sector 66 Gurgaon,Super Built-up Area,70000.0,2100,4,4,4.1,28.3974292,77.0538823,Ready To Move,"['https://static.99acres.com/universalapp/img/Shortlist.png', 'https://static.99acres.com/universalapp/img/noImageBgPremium.svg', 'https://static.99acres.com/universalapp/img/StarNew.png', 'https://static.99acres.com/universalapp/img/downArrowNew.png']",Gurgaon
2083,Tata Primanti,3 BHK Flat for rent in Sector 72 Gurgaon,Sector 72 Gurgaon,Super Built-up Area,85000.0,2550,3,3,4.1,28.4159257,77.0290772,Ready To Move,"['https://static.99acres.com/universalapp/img/Shortlist.png', 'https://static.99acres.com/universalapp/img/noImageBgPremium.svg', 'https://static.99acres.com/universalapp/img/StarNew.png', 'https://static.99acres.com/universalapp/img/downArrowNew.png']",Gurgaon
2084,Emaar MGF Emerald Estate,3 BHK Flat for rent in Sector 65 Gurgaon,Sector 65 Gurgaon,Super Built-up Area,44000.0,1395,3,3,3.8,28.4042354,77.06925773240255,Ready To Move,"['https://static.99acres.com/universalapp/img/GreenVerified.png', 'https://static.99acres.com/universalapp/img/Shortlist.png', 'https://static.99acres.com/universalapp/img/star_fomo.svg', 'https://static.99acres.com/universalapp/img/noImageBgPremium.svg', 'https://static.99acres.com/universalapp/img/StarNew.png', 'https://static.99acres.com/universalapp/img/downArrowNew.png']",Gurgaon
2086,Emaar MGF Emerald Estate,2 BHK Flat for rent in Sector 65 Gurgaon,Sector 65 Gurgaon,Super Built-up Area,39000.0,1020,2,2,3.8,28.4042354,77.06925773240255,Ready To Move,"['https://static.99acres.com/universalapp/img/GreenVerified.png', 'https://static.99acres.com/universalapp/img/Shortlist.png', 'https://static.99acres.com/universalapp/img/star_fomo.svg', 'https://static.99acres.com/universalapp/img/noImageBgPremium.svg', 'https://static.99acres.com/universalapp/img/StarNew.png', 'https://static.99acres.com/universalapp/img/downArrowNew.png']",Gurgaon
