,Title,Location,Address,Area Type,Price,Total Sqft,Size,Bath,Rating,Latitude,Longitude,Availability,Images
0,Raymond Realty Phase 2,"2 BHK Flat for rent in Vartak Nagar, Thane","Vartak Nagar, Thane",Carpet Area,"33,000 ",515,2,2,0,19.2155371,72.9627101,Ready To Move,"['https://static.99acres.com/universalapp/img/Featured.png', 'https://static.99acres.com/universalapp/img/Shortlist.png', 'https://imagecdn.99acres.com/media1/22027/18/440558414M-1708008566062.jpg', 'https://imagecdn.99acres.com/media1/22027/19/440559104M-1708008576158.jpg', 'https://imagecdn.99acres.com/media1/22027/19/440559084M-1708008572472.jpg', 'https://imagecdn.99acres.com/media1/22027/18/440558522M-1708008566645.jpg', 'https://imagecdn.99acres.com/media1/22027/18/440558954M-1708008568519.jpg', 'https://imagecdn.99acres.com/media1/22027/18/440558726M-1708008568039.jpg', 'https://imagecdn.99acres.com/media1/22027/19/440559042M-1708008568800.jpg', 'https://imagecdn.99acres.com/media1/22027/19/440559076M-1708008569367.jpg', 'https://static.99acres.com/universalapp/img/downArrowNew.png']"
1,Lodha Splendora,"2 BHK Flat for rent in Ghodbunder Road, Thane","Ghodbunder Road, Thane",Carpet Area,"25,000 ",771,2,2,4.2,19.2945287,72.8899266,Ready To Move,"['https://static.99acres.com/universalapp/img/GreenVerified.png', 'https://static.99acres.com/universalapp/img/Featured.png', 'https://static.99acres.com/universalapp/img/Shortlist.png', 'https://static.99acres.com/universalapp/img/star_fomo.svg', 'https://imagecdn.99acres.com/media1/23880/19/477619796M-1709625111702.jpg', 'https://static.99acres.com/universalapp/img/StarNew.png', 'https://static.99acres.com/universalapp/img/downArrowNew.png']"
2,Hiranandani Castle Rock,"2 BHK Flat for rent in Hiranandani Gardens Powai, Mumbai","Hiranandani Gardens Powai, Mumbai",Super Built-up Area,1.1 Lac ,"1,350",2,2,0,19.114404999999998,72.91104954195528,Ready To Move,"['https://static.99acres.com/universalapp/img/Shortlist.png', 'https://static.99acres.com/universalapp/img/star_fomo.svg', 'https://static.99acres.com/universalapp/img/noImageBgPremium.svg', 'https://static.99acres.com/universalapp/img/downArrowNew.png', 'https://static.99acres.com/universalapp/img/projectnoimage.webp', 'https://static.99acres.com/universalapp/img/FDbadge.png']"
3,"Chattarpur, South Delhi","3 BHK Independent Builder Floor for rent in Chattarpur, South Delhi","Chattarpur, South Delhi",Carpet Area,"30,000 ","1,120",3,2,0,28.503846,77.183032,Ready To Move,"['https://static.99acres.com/universalapp/img/GreenVerified.png', 'https://static.99acres.com/universalapp/img/Shortlist.png', 'https://static.99acres.com/universalapp/img/star_fomo.svg', 'https://static.99acres.com/universalapp/img/noImageBgPremium.svg', 'https://static.99acres.com/universalapp/img/downArrowNew.png']"
4,Amrapali Golf Homes,3 BHK Flat for rent in Sector 4 Greater Noida,Sector 4 Greater Noida,Super Built-up Area,"16,000 ","1,115",3,2,0,28.4670734,77.5137649,Ready To Move,"['https://static.99acres.com/universalapp/img/GreenVerified.png', 'https://static.99acres.com/universalapp/img/Shortlist.png', 'https://static.99acres.com/universalapp/img/star_fomo.svg', 'https://static.99acres.com/universalapp/img/noImageBgPremium.svg', 'https://static.99acres.com/universalapp/img/downArrowNew.png']"
5,Eldeco Utopia,3 BHK Flat for rent in Sector 93 A Noida,Sector 93 A Noida,Carpet Area,"60,000 ","1,745",3,3,3.9,28.522950700000003,77.38611652635943,Ready To Move,"['https://static.99acres.com/universalapp/img/Shortlist.png', 'https://static.99acres.com/universalapp/img/star_fomo.svg', 'https://static.99acres.com/universalapp/img/noImageBgPremium.svg', 'https://static.99acres.com/universalapp/img/StarNew.png', 'https://static.99acres.com/universalapp/img/downArrowNew.png']"
6,"DLF Phase 1, Gurgaon","4 BHK Independent Builder Floor for rent in DLF Phase 1, Gurgaon","DLF Phase 1, Gurgaon",Carpet Area,"95,000 ","2,700",4,4,0,28.4714278,77.0939848,Ready To Move,"['https://static.99acres.com/universalapp/img/GreenVerified.png', 'https://static.99acres.com/universalapp/img/Shortlist.png', 'https://static.99acres.com/universalapp/img/star_fomo.svg', 'https://static.99acres.com/universalapp/img/noImageBgPremium.svg', 'https://static.99acres.com/universalapp/img/downArrowNew.png']"
7,Hiranandani Torino,"3 BHK Flat for rent in Hiranandani Gardens Powai, Mumbai","Hiranandani Gardens Powai, Mumbai",Super Built-up Area,1.5 Lac ,"1,600",3,3,0,19.114404999999998,72.91104954195528,Ready To Move,"['https://static.99acres.com/universalapp/img/Shortlist.png', 'https://static.99acres.com/universalapp/img/star_fomo.svg', 'https://static.99acres.com/universalapp/img/noImageBgPremium.svg', 'https://static.99acres.com/universalapp/img/downArrowNew.png', 'https://static.99acres.com/universalapp/img/projectnoimage.webp', 'https://static.99acres.com/universalapp/img/FDbadge.png']"
8,Hiranandani Gardens Richmond Tower,"4 BHK Flat for rent in Hiranandani Gardens Powai, Mumbai","Hiranandani Gardens Powai, Mumbai",Super Built-up Area,3.75 Lac ,"3,600",4,4,0,19.114404999999998,72.91104954195528,Ready To Move,"['https://static.99acres.com/universalapp/img/Shortlist.png', 'https://static.99acres.com/universalapp/img/star_fomo.svg', 'https://static.99acres.com/universalapp/img/noImageBgPremium.svg', 'https://static.99acres.com/universalapp/img/downArrowNew.png', 'https://static.99acres.com/universalapp/img/projectnoimage.webp', 'https://static.99acres.com/universalapp/img/FDbadge.png']"
9,DDA New Allotment,"3 BHK Flat for rent in Sector E Vasant Kunj, South Delhi","Sector E Vasant Kunj, South Delhi",Super Built-up Area,"55,000 ","1,580",3,2,3.9,28.6273928,77.1716954,Ready To Move,"['https://static.99acres.com/universalapp/img/Shortlist.png', 'https://static.99acres.com/universalapp/img/star_fomo.svg', 'https://static.99acres.com/universalapp/img/noImageBgPremium.svg', 'https://static.99acres.com/universalapp/img/StarNew.png', 'https://static.99acres.com/universalapp/img/downArrowNew.png']"
10,"DLF Phase 2, Gurgaon","3 BHK Independent Builder Floor for rent in DLF Phase 2, Gurgaon","DLF Phase 2, Gurgaon",Carpet Area,"80,000 ","1,800",3,4,0,28.483901,77.0846097,Ready To Move,"['https://static.99acres.com/universalapp/img/Shortlist.png', 'https://static.99acres.com/universalapp/img/star_fomo.svg', 'https://static.99acres.com/universalapp/img/noImageBgPremium.svg', 'https://static.99acres.com/universalapp/img/downArrowNew.png']"
11,Endee Aura Villa,"4 Bedroom House for rent in Neelankarai, Chennai South","Neelankarai, Chennai South",Plot Area,1 Lac ,"2,650",4,4,0,2.7497556,11.4860732,Ready To Move,"['https://static.99acres.com/universalapp/img/Shortlist.png', 'https://static.99acres.com/universalapp/img/noImageBgPremium.svg', 'https://static.99acres.com/universalapp/img/downArrowNew.png']"
12,"Tondiarpet, Chennai North","2 BHK Independent Builder Floor for rent in Tondiarpet, Chennai North","Tondiarpet, Chennai North",Built-up Area,"30,000 ","1,600",2,2,0,8.7712794,13.7803627,Ready To Move,"['https://static.99acres.com/universalapp/img/Shortlist.png', 'https://static.99acres.com/universalapp/img/star_fomo.svg', 'https://static.99acres.com/universalapp/img/noImageBgPremium.svg', 'https://static.99acres.com/universalapp/img/downArrowNew.png']"
13,M3M Heights,2 BHK Flat for rent in Sector 65 Gurgaon,Sector 65 Gurgaon,Super Built-up Area,"61,000 ","1,250",2,2,0,28.404235399999997,77.06925773240255,Ready To Move,"['https://static.99acres.com/universalapp/img/Shortlist.png', 'https://static.99acres.com/universalapp/img/star_fomo.svg', 'https://static.99acres.com/universalapp/img/noImageBgPremium.svg', 'https://static.99acres.com/universalapp/img/downArrowNew.png', 'https://static.99acres.com/universalapp/img/projectnoimage.webp', 'https://static.99acres.com/universalapp/img/FDbadge.png']"
14,"ECR, Chennai South","3 Bedroom House for rent in ECR, Chennai South","ECR, Chennai South",Plot Area,1.8 Lac ,"1,800",3,3,0,2.7497556,11.4860732,Ready To Move,"['https://static.99acres.com/universalapp/img/Shortlist.png', 'https://static.99acres.com/universalapp/img/star_fomo.svg', 'https://static.99acres.com/universalapp/img/noImageBgPremium.svg', 'https://static.99acres.com/universalapp/img/downArrowNew.png']"
15,Ramprastha Primera,3 BHK Flat for rent in Sector 37D Gurgaon,Sector 37D Gurgaon,Carpet Area,"60,000 ","1,775",3,3,0,28.4480039,76.9697682,Ready To Move,"['https://static.99acres.com/universalapp/img/GreenVerified.png', 'https://static.99acres.com/universalapp/img/Shortlist.png', 'https://static.99acres.com/universalapp/img/star_fomo.svg', 'https://static.99acres.com/universalapp/img/noImageBgPremium.svg', 'https://static.99acres.com/universalapp/img/downArrowNew.png']"
16,United Sai Arcade,"2 BHK Flat for rent in Kadugodi, Bangalore East","Kadugodi, Bangalore East",Super Built-up Area,"49,000 ","1,190",2,2,0,12.9985767,77.7609716,Ready To Move,"['https://static.99acres.com/universalapp/img/GreenVerified.png', 'https://static.99acres.com/universalapp/img/Shortlist.png', 'https://static.99acres.com/universalapp/img/star_fomo.svg', 'https://static.99acres.com/universalapp/img/noImageBgPremium.svg', 'https://static.99acres.com/universalapp/img/downArrowNew.png']"
17,M3M Heights,2 BHK Flat for rent in Sector 65 Gurgaon,Sector 65 Gurgaon,Carpet Area,"70,000 ","1,533",2,2,0,28.404235399999997,77.06925773240255,Ready To Move,"['https://static.99acres.com/universalapp/img/Shortlist.png', 'https://static.99acres.com/universalapp/img/star_fomo.svg', 'https://static.99acres.com/universalapp/img/noImageBgPremium.svg', 'https://static.99acres.com/universalapp/img/downArrowNew.png', 'https://static.99acres.com/universalapp/img/projectnoimage.webp', 'https://static.99acres.com/universalapp/img/FDbadge.png']"
18,Lok Raunak,"2 BHK Flat for rent in Marol, Mumbai","Marol, Mumbai",Super Built-up Area,"42,008 ","1,200",2,2,3.9,19.1172198,72.882342,Ready To Move,"['https://static.99acres.com/universalapp/img/GreenVerified.png', 'https://static.99acres.com/universalapp/img/Shortlist.png', 'https://static.99acres.com/universalapp/img/star_fomo.svg', 'https://static.99acres.com/universalapp/img/noImageBgPremium.svg', 'https://static.99acres.com/universalapp/img/StarNew.png', 'https://static.99acres.com/universalapp/img/downArrowNew.png']"
19,"Adare, The Art Hub. Ranikhet","2 Bedroom House for rent in Gadhwali, Ranikhet","Gadhwali, Ranikhet",Built-up Area,"82,000 ","4,300",2,2,0,29.632300700000002,79.4154141676432,Ready To Move,"['https://static.99acres.com/universalapp/img/Shortlist.png', 'https://static.99acres.com/universalapp/img/star_fomo.svg', 'https://static.99acres.com/universalapp/img/noImageBgPremium.svg', 'https://static.99acres.com/universalapp/img/downArrowNew.png']"
20,Atlis Oceanique,"2 BHK Flat for rent in Muttukadu, Chennai South","Muttukadu, Chennai South",Built-up Area,"50,000 ","1,255",2,2,0,2.7497556,11.4860732,Ready To Move,"['https://static.99acres.com/universalapp/img/GreenVerified.png', 'https://static.99acres.com/universalapp/img/Shortlist.png', 'https://static.99acres.com/universalapp/img/star_fomo.svg', 'https://static.99acres.com/universalapp/img/noImageBgPremium.svg', 'https://static.99acres.com/universalapp/img/downArrowNew.png']"
21,Tulsiani Luvnest,"3 BHK Flat for rent in Vrindavan Yojna, Lucknow","Vrindavan Yojna, Lucknow",Super Built-up Area,"26,000 ","1,860",3,4,0,26.8381,80.9346001,Ready To Move,"['https://static.99acres.com/universalapp/img/Shortlist.png', 'https://static.99acres.com/universalapp/img/star_fomo.svg', 'https://static.99acres.com/universalapp/img/noImageBgPremium.svg', 'https://static.99acres.com/universalapp/img/downArrowNew.png']"
22,M3M Heights,2 BHK Flat for rent in Sector 65 Gurgaon,Sector 65 Gurgaon,Super Built-up Area,"55,000 ","1,261",2,2,0,28.404235399999997,77.06925773240255,Ready To Move,"['https://static.99acres.com/universalapp/img/Shortlist.png', 'https://static.99acres.com/universalapp/img/star_fomo.svg', 'https://static.99acres.com/universalapp/img/noImageBgPremium.svg', 'https://static.99acres.com/universalapp/img/downArrowNew.png']"
23,Wave Amore,3 BHK Flat for rent in Sector 32 Noida,Sector 32 Noida,Super Built-up Area,"90,000 ","2,196",3,3,0,28.579607950000003,77.35024251064897,Ready To Move,"['https://static.99acres.com/universalapp/img/GreenVerified.png', 'https://static.99acres.com/universalapp/img/Shortlist.png', 'https://static.99acres.com/universalapp/img/star_fomo.svg', 'https://static.99acres.com/universalapp/img/noImageBgPremium.svg', 'https://static.99acres.com/universalapp/img/downArrowNew.png']"
24,"Sector 15 Part 2, Gurgaon","4 BHK Independent Builder Floor for rent in Sector 15 Part 2, Gurgaon","Sector 15 Part 2, Gurgaon",Carpet Area,"76,000 ","2,200",4,3,0,28.4646148,77.0299194,Ready To Move,"['https://static.99acres.com/universalapp/img/GreenVerified.png', 'https://static.99acres.com/universalapp/img/Shortlist.png', 'https://static.99acres.com/universalapp/img/star_fomo.svg', 'https://static.99acres.com/universalapp/img/noImageBgPremium.svg', 'https://static.99acres.com/universalapp/img/downArrowNew.png']"
25,Ambika La Parisian,4 BHK Flat for rent in Sector 66b Mohali,Sector 66b Mohali,Super Built-up Area,"39,500 ","2,150",4,4,0,30.7348827,76.7137956,Ready To Move,"['https://static.99acres.com/universalapp/img/Shortlist.png', 'https://static.99acres.com/universalapp/img/star_fomo.svg', 'https://static.99acres.com/universalapp/img/noImageBgPremium.svg', 'https://static.99acres.com/universalapp/img/downArrowNew.png']"
26,Metro Tower,"2 BHK Flat for rent in Purbalok, Kolkata South","Purbalok, Kolkata South",Super Built-up Area,"28,000 ",945,2,2,0,2.7497556,11.4860732,Ready To Move,"['https://static.99acres.com/universalapp/img/GreenVerified.png', 'https://static.99acres.com/universalapp/img/Shortlist.png', 'https://static.99acres.com/universalapp/img/star_fomo.svg', 'https://static.99acres.com/universalapp/img/noImageBgPremium.svg', 'https://static.99acres.com/universalapp/img/downArrowNew.png']"
27,"Suncity, Gurgaon","3 BHK Independent Builder Floor for rent in Suncity, Gurgaon","Suncity, Gurgaon",Super Built-up Area,"80,000 ","3,240",3,3,0,28.43312165,77.10551952112357,Ready To Move,"['https://static.99acres.com/universalapp/img/GreenVerified.png', 'https://static.99acres.com/universalapp/img/Shortlist.png', 'https://static.99acres.com/universalapp/img/star_fomo.svg', 'https://imagecdn.99acres.com/media1/23714/13/474293470M-1708245931394.jpg', 'https://imagecdn.99acres.com/media1/23714/12/474292864M-1708245696830.jpg', 'https://imagecdn.99acres.com/media1/23714/13/474293356M-1708245892938.jpg', 'https://imagecdn.99acres.com/media1/23714/12/474292940M-1708245697305.jpg', 'https://imagecdn.99acres.com/media1/23714/13/474293112M-1708245800838.jpg', 'https://imagecdn.99acres.com/media1/23714/13/474293182M-1708245811235.jpg', 'https://imagecdn.99acres.com/media1/23714/12/474292996M-1708245742772.jpg', 'https://imagecdn.99acres.com/media1/23714/13/474293132M-1708245804631.jpg', 'https://imagecdn.99acres.com/media1/23714/13/474293194M-1708245847353.jpg', 'https://imagecdn.99acres.com/media1/23714/13/474293336M-1708245892231.jpg', 'https://imagecdn.99acres.com/media1/23714/13/474293544M-1708245977475.jpg', 'https://imagecdn.99acres.com/media1/23714/13/474293636M-1708245985709.jpg', 'https://imagecdn.99acres.com/media1/23714/13/474293662M-1708246031447.jpg', 'https://imagecdn.99acres.com/media1/23714/13/474293424M-1708245931298.jpg', 'https://imagecdn.99acres.com/media1/23714/13/474293744M-1708246037818.jpg', 'https://imagecdn.99acres.com/media1/23714/13/474293830M-1708246082835.jpg', 'https://imagecdn.99acres.com/media1/23714/13/474293920M-1708246129809.jpg', 'https://static.99acres.com/universalapp/img/downArrowNew.png']"
28,Karunamoyee Housing Society,"4 BHK Flat for rent in Salt Lake, Kolkata North","Salt Lake, Kolkata North",Carpet Area,"27,000 ","1,200",4,2,4.0,22.59175005,88.41232712421045,Ready To Move,"['https://static.99acres.com/universalapp/img/GreenVerified.png', 'https://static.99acres.com/universalapp/img/Shortlist.png', 'https://static.99acres.com/universalapp/img/star_fomo.svg', 'https://imagecdn.99acres.com/media1/24026/9/480529944M-1710591005567.jpg', 'https://static.99acres.com/universalapp/img/StarNew.png', 'https://static.99acres.com/universalapp/img/downArrowNew.png']"
29,"Tiger Plaza, In Saffron City Residential Society,","1 BHK Serviced Apartment for rent in Jolva, Bharuch","Jolva, Bharuch",Carpet Area,"30,000 ","1,200",1,1,0,21.7080427,72.9956936,Ready To Move,"['https://static.99acres.com/universalapp/img/Shortlist.png', 'https://static.99acres.com/universalapp/img/star_fomo.svg', 'https://static.99acres.com/universalapp/img/noImageBgPremium.svg', 'https://static.99acres.com/universalapp/img/downArrowNew.png']"
30,Hiranandani Atlantis,"2 BHK Flat for rent in Hiranandani Gardens Powai, Mumbai","Hiranandani Gardens Powai, Mumbai",Super Built-up Area,1.1 Lac ,"1,350",2,2,3.8,19.114404999999998,72.91104954195528,Ready To Move,"['https://static.99acres.com/universalapp/img/Shortlist.png', 'https://static.99acres.com/universalapp/img/star_fomo.svg', 'https://static.99acres.com/universalapp/img/noImageBgPremium.svg', 'https://static.99acres.com/universalapp/img/StarNew.png', 'https://static.99acres.com/universalapp/img/downArrowNew.png', 'https://static.99acres.com/universalapp/img/projectnoimage.webp', 'https://static.99acres.com/universalapp/img/FDbadge.png']"
31,Hiranandani Atlantis,"2 BHK Flat for rent in Hiranandani Gardens Powai, Mumbai","Hiranandani Gardens Powai, Mumbai",Super Built-up Area,1 Lac ,"1,350",2,2,3.8,19.114404999999998,72.91104954195528,Ready To Move,"['https://static.99acres.com/universalapp/img/Shortlist.png', 'https://static.99acres.com/universalapp/img/star_fomo.svg', 'https://static.99acres.com/universalapp/img/noImageBgPremium.svg', 'https://static.99acres.com/universalapp/img/StarNew.png', 'https://static.99acres.com/universalapp/img/downArrowNew.png', 'https://static.99acres.com/universalapp/img/projectnoimage.webp', 'https://static.99acres.com/universalapp/img/FDbadge.png']"
32,Ajmera Zeon,"2 BHK Flat for rent in Wadala East, Mumbai South","Wadala East, Mumbai South",Carpet Area,1.3 Lac ,950,2,2,0,2.7497556,11.4860732,Ready To Move,"['https://static.99acres.com/universalapp/img/GreenVerified.png', 'https://static.99acres.com/universalapp/img/Shortlist.png', 'https://static.99acres.com/universalapp/img/star_fomo.svg', 'https://static.99acres.com/universalapp/img/noImageBgPremium.svg', 'https://static.99acres.com/universalapp/img/downArrowNew.png']"
33,M3M Heights,2 BHK Flat for rent in Sector 65 Gurgaon,Sector 65 Gurgaon,Super Built-up Area,"63,000 ","1,433",2,2,0,28.404235399999997,77.06925773240255,Ready To Move,"['https://static.99acres.com/universalapp/img/Shortlist.png', 'https://static.99acres.com/universalapp/img/star_fomo.svg', 'https://static.99acres.com/universalapp/img/noImageBgPremium.svg', 'https://static.99acres.com/universalapp/img/downArrowNew.png', 'https://static.99acres.com/universalapp/img/projectnoimage.webp', 'https://static.99acres.com/universalapp/img/FDbadge.png']"
34,TRWA Sector A Pocket A,"2 BHK Flat for rent in Vasant Kunj, South Delhi","Vasant Kunj, South Delhi",Carpet Area,"45,000 ","1,200",2,2,0,28.51319,77.16137308119117,Ready To Move,"['https://static.99acres.com/universalapp/img/GreenVerified.png', 'https://static.99acres.com/universalapp/img/Shortlist.png', 'https://static.99acres.com/universalapp/img/star_fomo.svg', 'https://static.99acres.com/universalapp/img/noImageBgPremium.svg', 'https://static.99acres.com/universalapp/img/downArrowNew.png']"
35,Luxury Builder Floors In Dlf Phase 2,"3 BHK Independent Builder Floor for rent in DLF Phase 2, Gurgaon","DLF Phase 2, Gurgaon",Carpet Area,"80,000 ","1,935",3,3,0,28.483901,77.0846097,Ready To Move,"['https://static.99acres.com/universalapp/img/GreenVerified.png', 'https://static.99acres.com/universalapp/img/Shortlist.png', 'https://static.99acres.com/universalapp/img/star_fomo.svg', 'https://static.99acres.com/universalapp/img/noImageBgPremium.svg', 'https://static.99acres.com/universalapp/img/downArrowNew.png']"
36,"Green Heritage Villas, Jhajjar","3 Bedroom House for rent in Jhajjar Road, Gurgaon","Jhajjar Road, Gurgaon",Plot Area,"85,000 ","9,000",3,4,0,28.42826235,77.00270014657752,Ready To Move,"['https://static.99acres.com/universalapp/img/Shortlist.png', 'https://static.99acres.com/universalapp/img/star_fomo.svg', 'https://static.99acres.com/universalapp/img/noImageBgPremium.svg', 'https://static.99acres.com/universalapp/img/downArrowNew.png']"
37,"DLF Phase 1, Gurgaon","4 BHK Independent Builder Floor for rent in DLF Phase 1, Gurgaon","DLF Phase 1, Gurgaon",Carpet Area,1.6 Lac ,"3,100",4,4,0,28.4714259,77.0939371,Ready To Move,"['https://static.99acres.com/universalapp/img/GreenVerified.png', 'https://static.99acres.com/universalapp/img/Shortlist.png', 'https://static.99acres.com/universalapp/img/star_fomo.svg', 'https://static.99acres.com/universalapp/img/noImageBgPremium.svg', 'https://static.99acres.com/universalapp/img/downArrowNew.png']"
38,"DLF Phase 4, Gurgaon","4 BHK Independent Builder Floor for rent in DLF Phase 4, Gurgaon","DLF Phase 4, Gurgaon",Carpet Area,1.1 Lac ,"3,000",4,4,0,28.503444950000002,77.09520476323657,Ready To Move,"['https://static.99acres.com/universalapp/img/Shortlist.png', 'https://static.99acres.com/universalapp/img/star_fomo.svg', 'https://static.99acres.com/universalapp/img/noImageBgPremium.svg', 'https://static.99acres.com/universalapp/img/downArrowNew.png']"
39,AWHO Sandeep Vihar,"3 BHK Flat for rent in Ardendale, Bangalore East","Ardendale, Bangalore East",Super Built-up Area,"41,500 ","1,721",3,3,4.3,13.026135,77.76638437071601,Ready To Move,"['https://static.99acres.com/universalapp/img/Shortlist.png', 'https://static.99acres.com/universalapp/img/star_fomo.svg', 'https://static.99acres.com/universalapp/img/noImageBgPremium.svg', 'https://static.99acres.com/universalapp/img/StarNew.png', 'https://static.99acres.com/universalapp/img/downArrowNew.png']"
40,"RBI East Layout, Bangalore South","4 Bedroom House for rent in RBI East Layout, Bangalore South","RBI East Layout, Bangalore South",Plot Area,"60,000 ","3,200",4,6,0,12.9307256,77.5934343,Ready To Move,"['https://static.99acres.com/universalapp/img/Shortlist.png', 'https://static.99acres.com/universalapp/img/star_fomo.svg', 'https://static.99acres.com/universalapp/img/noImageBgPremium.svg', 'https://static.99acres.com/universalapp/img/downArrowNew.png']"
41,Brownricks apartment,"Studio Apartments / 1 RK Flats for rent in DLF Phase 3, Gurgaon","DLF Phase 3, Gurgaon",Carpet Area,"37,000 ",490,1,1,0,28.503444950000002,77.09520476323657,Ready To Move,"['https://static.99acres.com/universalapp/img/GreenVerified.png', 'https://static.99acres.com/universalapp/img/Shortlist.png', 'https://static.99acres.com/universalapp/img/star_fomo.svg', 'https://static.99acres.com/universalapp/img/noImageBgPremium.svg', 'https://static.99acres.com/universalapp/img/downArrowNew.png']"
42,Ireo Skyon,3 BHK Flat for rent in Sector 60 Gurgaon,Sector 60 Gurgaon,Super Built-up Area,"75,000 ","2,045",3,4,4.0,28.3985617,77.0978276,Ready To Move,"['https://static.99acres.com/universalapp/img/GreenVerified.png', 'https://static.99acres.com/universalapp/img/Shortlist.png', 'https://static.99acres.com/universalapp/img/star_fomo.svg', 'https://static.99acres.com/universalapp/img/noImageBgPremium.svg', 'https://static.99acres.com/universalapp/img/StarNew.png', 'https://static.99acres.com/universalapp/img/downArrowNew.png']"
43,"DLF Phase 2, Gurgaon","4 BHK Independent Builder Floor for rent in DLF Phase 2, Gurgaon","DLF Phase 2, Gurgaon",Carpet Area,1.84 Lac ,"4,150",4,5,0,28.483901,77.0846097,Ready To Move,"['https://static.99acres.com/universalapp/img/GreenVerified.png', 'https://static.99acres.com/universalapp/img/Shortlist.png', 'https://static.99acres.com/universalapp/img/star_fomo.svg', 'https://static.99acres.com/universalapp/img/noImageBgPremium.svg', 'https://static.99acres.com/universalapp/img/downArrowNew.png']"
44,"CBM Compound, Visakhapatnam","2 BHK Independent Builder Floor for rent in CBM Compound, Visakhapatnam","CBM Compound, Visakhapatnam",Super Built-up Area,"60,000 ","2,400",2,1,0,17.7231276,83.3012842,Ready To Move,"['https://static.99acres.com/universalapp/img/Shortlist.png', 'https://static.99acres.com/universalapp/img/star_fomo.svg', 'https://static.99acres.com/universalapp/img/noImageBgPremium.svg', 'https://static.99acres.com/universalapp/img/downArrowNew.png']"
45,Aadi Allure,"2 BHK Flat for rent in Kanjurmarg East, Mumbai","Kanjurmarg East, Mumbai",Super Built-up Area,"49,000 ",730,2,2,4.2,19.1378308,72.9361964,Ready To Move,"['https://static.99acres.com/universalapp/img/GreenVerified.png', 'https://static.99acres.com/universalapp/img/Shortlist.png', 'https://static.99acres.com/universalapp/img/star_fomo.svg', 'https://static.99acres.com/universalapp/img/noImageBgPremium.svg', 'https://static.99acres.com/universalapp/img/StarNew.png', 'https://static.99acres.com/universalapp/img/downArrowNew.png']"
46,"Palam Vihar, Gurgaon","4 BHK Independent Builder Floor for rent in Palam Vihar, Gurgaon","Palam Vihar, Gurgaon",Super Built-up Area,"65,000 ","4,500",4,4,0,28.5179556,77.04295559877025,Ready To Move,"['https://static.99acres.com/universalapp/img/GreenVerified.png', 'https://static.99acres.com/universalapp/img/Shortlist.png', 'https://static.99acres.com/universalapp/img/star_fomo.svg', 'https://static.99acres.com/universalapp/img/noImageBgPremium.svg', 'https://static.99acres.com/universalapp/img/downArrowNew.png']"
47,Dwaraka Sai Appartment,"3 BHK Flat for rent in Currency Nagar, Vijayawada","Currency Nagar, Vijayawada",Super Built-up Area,"13,500 ","1,700",3,2,0,16.5211148,80.6674091,Ready To Move,"['https://static.99acres.com/universalapp/img/Shortlist.png', 'https://static.99acres.com/universalapp/img/star_fomo.svg', 'https://static.99acres.com/universalapp/img/noImageBgPremium.svg', 'https://static.99acres.com/universalapp/img/downArrowNew.png']"
48,"Thiruppalai, Madurai","3 Bedroom House for rent in Thiruppalai, Madurai","Thiruppalai, Madurai",Plot Area,"20,000 ","2,400",3,2,0,9.9730361,78.1395704,Ready To Move,"['https://static.99acres.com/universalapp/img/Shortlist.png', 'https://static.99acres.com/universalapp/img/star_fomo.svg', 'https://static.99acres.com/universalapp/img/noImageBgPremium.svg', 'https://static.99acres.com/universalapp/img/downArrowNew.png']"
49,"Chanakya Puri, South Delhi","6 Bedroom House for rent in Chanakya Puri, South Delhi","Chanakya Puri, South Delhi",Plot Area,3 Lac ,"30,042",6,7,0,28.6090129,77.2360929,Ready To Move,"['https://static.99acres.com/universalapp/img/GreenVerified.png', 'https://static.99acres.com/universalapp/img/Shortlist.png', 'https://static.99acres.com/universalapp/img/star_fomo.svg', 'https://static.99acres.com/universalapp/img/noImageBgPremium.svg', 'https://static.99acres.com/universalapp/img/downArrowNew.png']"
50,Vishal Sanjivini,"5 Bedroom House for rent in Tukkuguda, Hyderabad","Tukkuguda, Hyderabad",Plot Area,"59,500 ",240,5,4,0,17.360589,78.4740613,Ready To Move,"['https://static.99acres.com/universalapp/img/Shortlist.png', 'https://static.99acres.com/universalapp/img/star_fomo.svg', 'https://static.99acres.com/universalapp/img/noImageBgPremium.svg', 'https://static.99acres.com/universalapp/img/downArrowNew.png']"
51,M3M Heights,2 BHK Flat for rent in Sector 65 Gurgaon,Sector 65 Gurgaon,Carpet Area,"60,000 ","1,516",2,2,0,28.404235399999997,77.06925773240255,Ready To Move,"['https://static.99acres.com/universalapp/img/Shortlist.png', 'https://static.99acres.com/universalapp/img/star_fomo.svg', 'https://static.99acres.com/universalapp/img/noImageBgPremium.svg', 'https://static.99acres.com/universalapp/img/downArrowNew.png', 'https://static.99acres.com/universalapp/img/projectnoimage.webp', 'https://static.99acres.com/universalapp/img/FDbadge.png']"
