,Title,Location,Address,Area Type,Price,Total Sqft,Size,Bath,Rating,Latitude,Longitude,Availability,Images
2190,Mahagun Mezzaria,3 BHK Flat for rent in Sector 78 Noida,Sector 78 Noida,Super Built-up Area,"67,000 ","2,500",3,3,4.1,28.5577363,77.3234575,Ready To Move,"['https://static.99acres.com/universalapp/img/Shortlist.png', 'https://static.99acres.com/universalapp/img/star_fomo.svg', 'https://static.99acres.com/universalapp/img/noImageBgPremium.svg', 'https://static.99acres.com/universalapp/img/StarNew.png', 'https://static.99acres.com/universalapp/img/downArrowNew.png', 'https://static.99acres.com/universalapp/img/projectnoimage.webp', 'https://static.99acres.com/universalapp/img/FDbadge.png']"
2191,Godrej Green Glades,"3 BHK Flat for rent in Jagatpur, Ahmedabad North","Jagatpur, Ahmedabad North",Super Built-up Area,"22,000 ","1,650",3,3,0,8.7712794,13.7803627,Ready To Move,"['https://static.99acres.com/universalapp/img/Shortlist.png', 'https://static.99acres.com/universalapp/img/star_fomo.svg', 'https://static.99acres.com/universalapp/img/noImageBgPremium.svg', 'https://static.99acres.com/universalapp/img/downArrowNew.png']"
2192,The Soul,"3 BHK Flat for rent in Rajarhat, Kolkata East","Rajarhat, Kolkata East",Carpet Area,"29,000 ","1,009",3,3,0,12.2527495,0.8736106,Ready To Move,"['https://static.99acres.com/universalapp/img/Shortlist.png', 'https://static.99acres.com/universalapp/img/noImageBgPremium.svg', 'https://static.99acres.com/universalapp/img/downArrowNew.png']"
2193,Kolte Patil Life Republic,"2 BHK Flat for rent in Hinjewadi, Pune","Hinjewadi, Pune",Carpet Area,"24,000 ",624,2,2,4.3,18.5731322,73.690766375,Ready To Move,"['https://static.99acres.com/universalapp/img/GreenVerified.png', 'https://static.99acres.com/universalapp/img/Shortlist.png', 'https://static.99acres.com/universalapp/img/star_fomo.svg', 'https://static.99acres.com/universalapp/img/noImageBgPremium.svg', 'https://static.99acres.com/universalapp/img/StarNew.png', 'https://static.99acres.com/universalapp/img/downArrowNew.png']"
2194,Awas Vikas Colony,"3 Bedroom House for rent in Pandeypur, Varanasi","Pandeypur, Varanasi",Plot Area,"13,500 ","2,000",3,2,0,25.3354626,82.9827056,Ready To Move,"['https://static.99acres.com/universalapp/img/Shortlist.png', 'https://static.99acres.com/universalapp/img/star_fomo.svg', 'https://static.99acres.com/universalapp/img/noImageBgPremium.svg', 'https://static.99acres.com/universalapp/img/downArrowNew.png']"
2195,Raunak City 2,"2 BHK Flat for rent in Kalyan West, Thane","Kalyan West, Thane",Super Built-up Area,"16,000 ","1,000",2,2,3.7,19.240353,73.1252789,Ready To Move,"['https://static.99acres.com/universalapp/img/GreenVerified.png', 'https://static.99acres.com/universalapp/img/Shortlist.png', 'https://static.99acres.com/universalapp/img/star_fomo.svg', 'https://static.99acres.com/universalapp/img/noImageBgPremium.svg', 'https://static.99acres.com/universalapp/img/StarNew.png', 'https://static.99acres.com/universalapp/img/downArrowNew.png']"
2196,Vyjayanth Chalets,"4 BHK Flat for rent in Financial District, Hyderabad","Financial District, Hyderabad",Super Built-up Area,"72,000 ","3,800",4,4,0,17.4008497,78.3384549,Ready To Move,"['https://static.99acres.com/universalapp/img/Shortlist.png', 'https://static.99acres.com/universalapp/img/star_fomo.svg', 'https://static.99acres.com/universalapp/img/noImageBgPremium.svg', 'https://static.99acres.com/universalapp/img/downArrowNew.png']"
2197,Avishikta Phase 1,"2 BHK Flat for rent in Kalikapur, Kolkata South","Kalikapur, Kolkata South",Carpet Area,"23,000 ",850,2,2,0,2.7497556,11.4860732,Ready To Move,"['https://static.99acres.com/universalapp/img/Shortlist.png', 'https://static.99acres.com/universalapp/img/noImageBgPremium.svg', 'https://static.99acres.com/universalapp/img/downArrowNew.png']"
2198,Bhoomi Apartment,"2 BHK Flat for rent in Sector 5 New Panvel East, Navi Mumbai","Sector 5 New Panvel East, Navi Mumbai",Built-up Area,"22,000 ",900,2,2,0,19.0785451,72.878176,Ready To Move,"['https://static.99acres.com/universalapp/img/Shortlist.png', 'https://static.99acres.com/universalapp/img/star_fomo.svg', 'https://static.99acres.com/universalapp/img/noImageBgPremium.svg', 'https://static.99acres.com/universalapp/img/downArrowNew.png', 'https://static.99acres.com/universalapp/img/projectnoimage.webp', 'https://static.99acres.com/universalapp/img/FDbadge.png']"
2199,Ganga New Town,"2 BHK Flat for rent in Dhanori, Pune","Dhanori, Pune",Carpet Area,"20,000 ",800,2,2,3.5,18.5906707,73.8913189,Ready To Move,"['https://static.99acres.com/universalapp/img/GreenVerified.png', 'https://static.99acres.com/universalapp/img/Shortlist.png', 'https://static.99acres.com/universalapp/img/star_fomo.svg', 'https://static.99acres.com/universalapp/img/noImageBgPremium.svg', 'https://static.99acres.com/universalapp/img/StarNew.png', 'https://static.99acres.com/universalapp/img/downArrowNew.png']"
2200,Youth Welfare CHS,3 BHK Flat for rent in Sector 79 Mohali,Sector 79 Mohali,Carpet Area,"32,000 ","2,400",3,3,0,30.6645424,76.7285701,Ready To Move,"['https://static.99acres.com/universalapp/img/Shortlist.png', 'https://static.99acres.com/universalapp/img/star_fomo.svg', 'https://static.99acres.com/universalapp/img/noImageBgPremium.svg', 'https://static.99acres.com/universalapp/img/downArrowNew.png']"
2201,Geomatrix Silver Crest,"1 BHK Flat for rent in Sector 25 Khandeshhwar, Navi Mumbai","Sector 25 Khandeshhwar, Navi Mumbai",Super Built-up Area,"16,000 ",700,1,1,0,19.0785451,72.878176,Ready To Move,"['https://static.99acres.com/universalapp/img/Shortlist.png', 'https://static.99acres.com/universalapp/img/star_fomo.svg', 'https://imagecdn.99acres.com/media1/23975/10/479510084M-1710299761071.jpg', 'https://imagecdn.99acres.com/media1/23975/10/479510088M-1710299761140.jpg', 'https://imagecdn.99acres.com/media1/23975/10/479510080M-1710311701008.jpg', 'https://static.99acres.com/universalapp/img/downArrowNew.png']"
2202,El Spazia,"3 BHK Flat for rent in Zirakpur, Chandigarh","Zirakpur, Chandigarh",Super Built-up Area,"30,000 ","1,638",3,3,0,30.674192249999997,76.79098506460022,Ready To Move,"['https://static.99acres.com/universalapp/img/GreenVerified.png', 'https://static.99acres.com/universalapp/img/Shortlist.png', 'https://static.99acres.com/universalapp/img/star_fomo.svg', 'https://imagecdn.99acres.com/media1/23807/15/476155686M-1709028189111.jpg', 'https://static.99acres.com/universalapp/img/downArrowNew.png']"
2203,Sushma Chandigarh Grande,"3 BHK Flat for rent in Zirakpur, Chandigarh","Zirakpur, Chandigarh",Super Built-up Area,"26,000 ","1,475",3,2,0,30.63822,76.8228377,Ready To Move,"['https://static.99acres.com/universalapp/img/GreenVerified.png', 'https://static.99acres.com/universalapp/img/Shortlist.png', 'https://static.99acres.com/universalapp/img/star_fomo.svg', 'https://static.99acres.com/universalapp/img/noImageBgPremium.svg', 'https://static.99acres.com/universalapp/img/downArrowNew.png']"
2204,Tata The Promont,"3 BHK Flat for rent in Banashankari, Bangalore South","Banashankari, Bangalore South",Super Built-up Area,"80,000 ","2,522",3,4,4.3,12.9152208,77.573598,Ready To Move,"['https://static.99acres.com/universalapp/img/GreenVerified.png', 'https://static.99acres.com/universalapp/img/Shortlist.png', 'https://static.99acres.com/universalapp/img/noImageBg.svg', 'https://static.99acres.com/universalapp/img/StarNew.png', 'https://static.99acres.com/universalapp/img/downArrowNew.png']"
2205,Sky City by Oberoi Realty,"3 BHK Flat for rent in Borivali East, Mumbai","Borivali East, Mumbai",Super Built-up Area,1.2 Lac ,"1,650",3,3,0,19.2267228,72.8619328,Ready To Move,"['https://static.99acres.com/universalapp/img/Shortlist.png', 'https://static.99acres.com/universalapp/img/noImageBgPremium.svg', 'https://static.99acres.com/universalapp/img/downArrowNew.png']"
2206,Sky City by Oberoi Realty,"4 BHK Flat for rent in Borivali East, Mumbai","Borivali East, Mumbai",Super Built-up Area,1.4 Lac ,"2,000",4,4,0,19.2267228,72.8619328,Ready To Move,"['https://static.99acres.com/universalapp/img/Shortlist.png', 'https://static.99acres.com/universalapp/img/noImageBgPremium.svg', 'https://static.99acres.com/universalapp/img/downArrowNew.png']"
2207,Hiranandani Regent Hill,"1 BHK Flat for rent in Hiranandani Gardens Powai, Mumbai","Hiranandani Gardens Powai, Mumbai",Carpet Area,"61,000 ",385,1,2,0,19.114404999999998,72.91104954195528,Ready To Move,"['https://static.99acres.com/universalapp/img/GreenVerified.png', 'https://static.99acres.com/universalapp/img/Shortlist.png', 'https://static.99acres.com/universalapp/img/star_fomo.svg', 'https://static.99acres.com/universalapp/img/noImageBgPremium.svg', 'https://static.99acres.com/universalapp/img/downArrowNew.png']"
2208,Hiranandani Regent Hill,"1 BHK Flat for rent in Hiranandani Gardens Powai, Mumbai","Hiranandani Gardens Powai, Mumbai",Carpet Area,"52,000 ",384,1,2,0,19.114404999999998,72.91104954195528,Ready To Move,"['https://static.99acres.com/universalapp/img/GreenVerified.png', 'https://static.99acres.com/universalapp/img/Shortlist.png', 'https://static.99acres.com/universalapp/img/star_fomo.svg', 'https://static.99acres.com/universalapp/img/noImageBgPremium.svg', 'https://static.99acres.com/universalapp/img/downArrowNew.png']"
